Tag,W Sentiment,NW Sentiment,Difference
Nonadlt,0.7189650431325514,0.5589211239694669,0.16004391916308447
IndAdj,0.5371677728764035,0.43139080929295254,0.10577696358345096
Virtue,0.41106099504259264,0.3746199444675381,0.036441050575054534
Ovrst,0.055031414439227336,-0.020274901615128318,0.07530631605435566
EVAL,0.49290745041400724,0.3359415176255777,0.15696593278842952
Strong,0.0925552724793659,0.027432934342418683,0.06512233813694722
Power,0.07846785747760872,-0.04396883759241628,0.122436695070025
Active,-0.024021566259585965,-0.07467298936010212,0.05065142310051616
Role,0.09815941840499572,-0.08581684135388448,0.1839762597588802
PowAuPt,0.4705878431376209,0.11333324055564022,0.3572546025819807
PowTot,-0.04970758611111522,-0.13861134069751077,0.08890375458639554
Know,0.3966663902780027,0.3353465432962114,0.061319846981791326
Perceiv,0.051388828495439354,0.13792261394129887,0.08653378544585952
Negate,-0.06060602525254462,-0.19114570521711402,0.1305396799645694
SureLw,0.01282053418800143,-0.012951170746629692,0.025771704934631122
Pleasur,0.5833328055560648,0.45454515151538893,0.12878765404067588
EMOT,-0.02318838473431355,-0.06076690918392255,0.037578524449609005
WlbPsyc,0.04761896031757275,0.19047600793668548,0.14285704761911272
WlbTot,-0.02287579547932328,0.0034690889114994024,0.026344884390822682
Solve,0.09974930807857976,0.04361276030187731,0.056136547776702454
IAV,-0.09602828558163871,-0.1166743435254263,0.020646057943787585
Quan,0.08124995572919405,0.09288881448154818,0.011638858752354125
Hostile,-0.45469032692637396,-0.3734452475986593,0.08124507932771463
Vice,-0.5222218704716686,-0.44768489808994744,0.07453697238172113
EndsLw,0.014556941269359552,-0.07237222720330941,0.08692916847266896
TrnGain,-0.0899469964727525,-0.15075747057458455,0.060810474101832046
PowOth,0.05874996252085918,-0.06069396856122091,0.1194439310820801
Quality,0.003645850138861195,0.04472568938790822,0.041079839249047026
Passive,-0.13411446536469626,-0.1644569972107582,0.03034253184606195
Eval@,0.37499967361141784,0.11410245901719795,0.2608972145942199
AffTot,-0.21249985506955735,-0.1953430509028258,0.017156804166731543
WltTot,0.17368410809948306,0.13926369402872563,0.03442041407075744
Need,-0.3249998003771399,-0.34096163606429486,0.01596183568715498
Exert,-0.18266651033347914,-0.21785237148797754,0.0351858611544984
Goal,0.13141022302349759,-0.062383543839301225,0.1937937668627988
Complet,-0.19753068312774352,-0.29419040797477986,0.09665972484703633
Submit,-0.03703700432101662,-0.05025121482415861,0.01321421050314199
SklTOT,0.1153845662393379,0.12147161574234426,0.006087049503006356
Exprsv,0.47286796253246505,0.18997384643454374,0.2828941160979213
SV,0.33333322222225925,-0.05555551851853664,0.3888887407407959
If,0.11403501973687834,0.12564093641033194,0.011605916673453606
PowPt,-0.20634915661374972,-0.2773254438082279,0.07097628719447815
RspTot,0.5606056654043683,0.22852219659231002,0.3320834688120583
TrnLoss,-0.46559101539461506,-0.2802289416558298,0.18536207373878527
SklOth,0.01572328642554779,0.12944245444377728,0.11371916801822948
Work,-0.21052606578974342,0.022513664987237395,0.2330397307769808
Academ,0.3137252875818551,0.22781937718059903,0.08590591040125606
Doctrin,0.43218368157102194,0.36092414540733186,0.07125953616369007
WlbPt,-0.9999995833335138,-0.79999930000065,0.2000002833328638
IPadj,-0.29166650694452895,-0.09999994008776421,0.19166656685676475
PowCoop,0.19540214176259638,0.09019599050429074,0.10520615125830564
Try,0.45238064682564744,-0.04653402706337412,0.49891467388902155
Feel,0.6194440897687676,0.45439384879238864,0.165050240976379
Persist,0.33333316666675,-0.014965975238109098,0.3482991419048591
Name,0.21428555357157592,-0.09523801587308996,0.30952356944466586
AffOth,0.6999994266671925,0.19696959722227153,0.5030298294449209
EnlEnds,0.9047612936512949,0.413131052138247,0.49163024151304785
Begin,0.7037032839509239,0.26571415661912173,0.4379891273318021
Land,-0.08333330555556481,-0.11111107407408642,0.02777776851852161
POS,-0.5185182530865916,-0.015447180785863325,0.5030710723007282
